TEAM NAME,SLOT,TYPE,TEXTURE,FILENAME
cal,ALL,TEAM,glove-team-1.png,ed604dcd31bc5fd8-bfb17a264590834f-000059d3.png
cal,ALL,TEAM,glove-team-2.png,ed604dcd31bc5fd8-65c3d687724191e4-000059d3.png
